,embedding,detector,precision,recall,f-score,auc
0,reconstruction,USAD,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9888888888888889
1,attention,AnoTran,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6537037037037038
2,idk,idk,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5069444444444444
