,embedding,detector,precision,recall,f-score,auc
0,reconstruction,USAD,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.863869463869464
1,attention,AnoTran,0.2,0.2,0.2,0.7160839160839161
2,idk,idk,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.506993006993007
